rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,param_model__eta0,param_model__l1_ratio,param_model__penalty,params,split0_test_score,split0_train_score
1,-0.3324820092864957,0.0,-0.9999516217430481,0.0,3.5367653369903564,0.0,0.012944221496582031,0.0,0.065,0.0135,0.15,l2,"{'model__alpha': 0.065, 'model__eta0': 0.0135, 'model__l1_ratio': 0.15, 'model__penalty': 'l2'}",-0.3324820092864957,-0.9999516217430481
1,-0.3324820092864957,0.0,-0.9999516217430481,0.0,5.074561834335327,0.0,0.012904882431030273,0.0,0.065,0.0135,0.2,l2,"{'model__alpha': 0.065, 'model__eta0': 0.0135, 'model__l1_ratio': 0.2, 'model__penalty': 'l2'}",-0.3324820092864957,-0.9999516217430481
1,-0.3324820092864957,0.0,-0.9999516217430481,0.0,3.5245845317840576,0.0,0.013186454772949219,0.0,0.065,0.0135,0.25,l2,"{'model__alpha': 0.065, 'model__eta0': 0.0135, 'model__l1_ratio': 0.25, 'model__penalty': 'l2'}",-0.3324820092864957,-0.9999516217430481
4,-0.33248203254876685,0.0,-0.9999846456487347,0.0,5.1663734912872314,0.0,0.012787103652954102,0.0,0.07,0.0135,0.15,l2,"{'model__alpha': 0.07, 'model__eta0': 0.0135, 'model__l1_ratio': 0.15, 'model__penalty': 'l2'}",-0.33248203254876685,-0.9999846456487347
4,-0.33248203254876685,0.0,-0.9999846456487347,0.0,3.5006706714630127,0.0,0.012887001037597656,0.0,0.07,0.0135,0.2,l2,"{'model__alpha': 0.07, 'model__eta0': 0.0135, 'model__l1_ratio': 0.2, 'model__penalty': 'l2'}",-0.33248203254876685,-0.9999846456487347
4,-0.33248203254876685,0.0,-0.9999846456487347,0.0,4.386173248291016,0.0,0.026154518127441406,0.0,0.07,0.0135,0.25,l2,"{'model__alpha': 0.07, 'model__eta0': 0.0135, 'model__l1_ratio': 0.25, 'model__penalty': 'l2'}",-0.33248203254876685,-0.9999846456487347
7,-0.33248220566837944,0.0,-1.0001211342360654,0.0,4.2756993770599365,0.0,0.012148857116699219,0.0,0.065,0.014,0.15,l2,"{'model__alpha': 0.065, 'model__eta0': 0.014, 'model__l1_ratio': 0.15, 'model__penalty': 'l2'}",-0.33248220566837944,-1.0001211342360654
7,-0.33248220566837944,0.0,-1.0001211342360654,0.0,3.466620922088623,0.0,0.012514829635620117,0.0,0.065,0.014,0.2,l2,"{'model__alpha': 0.065, 'model__eta0': 0.014, 'model__l1_ratio': 0.2, 'model__penalty': 'l2'}",-0.33248220566837944,-1.0001211342360654
7,-0.33248220566837944,0.0,-1.0001211342360654,0.0,3.4469380378723145,0.0,0.012253284454345703,0.0,0.065,0.014,0.25,l2,"{'model__alpha': 0.065, 'model__eta0': 0.014, 'model__l1_ratio': 0.25, 'model__penalty': 'l2'}",-0.33248220566837944,-1.0001211342360654
10,-0.33248227599491814,0.0,-1.0000154773461434,0.0,3.5333433151245117,0.0,0.012798070907592773,0.0,0.075,0.0135,0.15,l2,"{'model__alpha': 0.075, 'model__eta0': 0.0135, 'model__l1_ratio': 0.15, 'model__penalty': 'l2'}",-0.33248227599491814,-1.0000154773461434
